pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000158050,DUSP2,-0.5654440507054492,-0.0444237008485067
neutrophil__breast__normal_vs_breast_cancer,ENSG00000069974,RAB27A,-0.5646452053970777,-0.0222230372037273
neutrophil__breast__normal_vs_breast_cancer,ENSG00000168066,SF1,-0.5632931416566936,-0.0475553180128017
neutrophil__breast__normal_vs_breast_cancer,ENSG00000108774,RAB5C,0.5630398593199589,0.3316763863949597
neutrophil__breast__normal_vs_breast_cancer,ENSG00000131171,SH3BGRL,0.5622938113727413,0.1438389405278318
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198053,SIRPA,0.5622547999628615,0.4162738429169799
neutrophil__breast__normal_vs_breast_cancer,ENSG00000165025,SYK,0.560716275522225,0.4033359402717028
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198821,CD247,-0.5604564671669386,-0.055156962438365
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198951,NAGA,0.559871274718397,0.3084984781924945
neutrophil__breast__normal_vs_breast_cancer,ENSG00000090104,RGS1,-0.5589611703977975,0.0923605731791805
neutrophil__breast__normal_vs_breast_cancer,ENSG00000132002,DNAJB1,-0.5574301654340927,-0.1534078471097492
neutrophil__breast__normal_vs_breast_cancer,ENSG00000078596,ITM2A,-0.5574079201192307,-0.1627232738166668
neutrophil__breast__normal_vs_breast_cancer,ENSG00000135926,TMBIM1,0.5557321167806073,0.2172166191290254
neutrophil__breast__normal_vs_breast_cancer,ENSG00000115268,RPS15,0.5550576290317899,0.1509399357729103
neutrophil__breast__normal_vs_breast_cancer,ENSG00000166033,HTRA1,0.5540270892311812,0.3608362059379448
neutrophil__breast__normal_vs_breast_cancer,ENSG00000155465,SLC7A7,0.5531554347194023,0.3666897728809449
neutrophil__breast__normal_vs_breast_cancer,ENSG00000241553,ARPC4,0.5519216436776828,0.1664145041653445
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197766,CFD,0.5500382582601777,0.2920372719064349
neutrophil__breast__normal_vs_breast_cancer,ENSG00000093010,COMT,0.550037347624922,0.2766328454089244
neutrophil__breast__normal_vs_breast_cancer,ENSG00000112245,PTP4A1,-0.5498817425871997,0.0485898317514223
neutrophil__breast__normal_vs_breast_cancer,ENSG00000124614,RPS10,-0.5483868152700855,0.0089928929288271
neutrophil__breast__normal_vs_breast_cancer,ENSG00000118181,RPS25,-0.5476375736244739,-0.2540432845158506
neutrophil__breast__normal_vs_breast_cancer,ENSG00000186818,LILRB4,0.5474642533777085,0.3771937008289228
neutrophil__breast__normal_vs_breast_cancer,ENSG00000112335,SNX3,0.545645342322143,0.2168495534428121
